© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of antigen presenting cells	1.74E-03	 	0.780	 	0.593	IRF1,CCL5,MCL1,TNFRSF1A,GBP1,LCN2,TP53,OSCAR,TLR4,SOD2,CFLAR,STAT3,CTSB,CASP4,FAS,AXL,TLR2,NLRC4	18	
Immunological Disease, Organismal Injury and Abnormalities	primary immunodeficiency disorder	Primary immunodeficiency disorder	1.74E-03	 	 	 	 	TLR4,TLR8,TLR5,TLR1,FAS,TLR2	6	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of phagocytes	1.77E-03	 	0.452	 	-0.150	AGER,IL15,F2RL1,TNFRSF1A,CD200,CD48,SIGLEC9,ITGB2,CAMP,TLR4,GRN,LY96,PROS1,SCN9A,CD300A,MAPT,TLR2,CCL2,ADAM9,S100A12,BPI,CCL5,PREX1,LTBR,NECTIN2,C5,APP,SBNO2,DYSF,FCAR,PRKCD,LTB4R,CLU,FAS,SERPING1,HRH2	36	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell movement	Cell movement of granulocytes	1.78E-03	Increased	2.615	bias	1.191	S100A9,ITGAM,AGER,IL15,TNFRSF1A,SOCS3,SELL,PPARA,ITGB2,CAMP,FPR1,RAC2,TLR4,ITGB3,CD177,CCL2,S100A8,PTGDR2,S100A12,CCL5,FPR2,PLAUR,C5,SIRPA,APP,PPBP,RTN4,PERP,MCU,SELP,TNFAIP6,SELPLG,ITGA4,SERPINA1,JAM3,FAS,ICAM1,CCR6,RAC1	39	
Cell Death and Survival, Organismal Injury and Abnormalities	apoptosis	Apoptosis of mononuclear leukocytes	1.80E-03	 	-0.047	 	-0.047	GSK3B,ITPR2,IL15,CD59,IL6R,TPP2,RAC2,CD274,TP53,DDX3X,ETS2,CFLAR,STAT3,FLT3,CASP4,XIAP,ITPR1,STAT5A,GADD45G,S100A8,SIVA1,CASP10,CCL5,CLC,SMPD1,CCR5,CD70,NFKB2,FCAR,HLA-G,LGALS8,STAT5B,FAS,RAC1	34	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	activation	Activation of myeloid cells	1.82E-03	 	0.230	 	-0.330	AGER,IL15,F2RL1,FCGR2A,CD200,SIGLEC9,ITGB2,CAMP,TLR4,GRN,LY96,PROS1,CD300A,MAPT,TLR2,CCL2,ADAM9,PTGDR2,S100A12,BPI,CCL5,PREX1,NECTIN2,C5,APP,SBNO2,DYSF,FCAR,PRKCD,LTB4R,CLU,SERPING1	32	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	transmigration	Transmigration of mononuclear leukocytes	1.95E-03	 	0.713	 	0.010	PTGDR2,MMP9,CCL5,C5,ITGAX,ITGB2,CD274,TIMP2,MYH9,ADAM17,CD300A,ITGA4,ICAM1,TGM2,CCL2	15	
Cell-To-Cell Signaling and Interaction	immune response	Immune response of myeloid cells	2.04E-03	 	1.269	 	0.430	ITGAM,JAK2,FCGR2A,C5,ANPEP,TNFRSF9,ITGB2,CNR2,FPR1,TLR4,FCAR,PROS1,NHLRC2,HGF,TLR2,CCL2	16	
Cell-To-Cell Signaling and Interaction, Inflammatory Response	immune response	Immune response of phagocytes	2.04E-03	 	1.031	 	0.243	ITGAM,JAK2,FCGR2A,C5,ANPEP,TNFRSF9,ITGB2,CNR2,FPR1,TLR4,FCAR,PROS1,NHLRC2,HGF,TLR2,CCL2	16	
Cell-To-Cell Signaling and Interaction	response	Response of myeloid cells	2.09E-03	 	1.517	bias	0.602	ITGAM,JAK2,FCGR2A,C5,ANPEP,TNFRSF9,ITGB2,CNR2,FPR1,IRAK4,TLR4,FCAR,PROS1,NHLRC2,HGF,TLR2,CCL2	17	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Development	proliferation	Proliferation of peripheral blood lymphocytes	2.11E-03	 	-0.616	 	-1.322	SH3KBP1,CSNK1A1,IL15,ICOSLG,CD48,PIK3CB,CD274,TP53,IGF1R,PORCN,MFN2,BATF,FTH1	13	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of mononuclear leukocytes	2.12E-03	 	-0.635	 	-1.393	AGER,DUSP3,CD200,TLR1,KLHL22,CD48,FCER1G,TNFRSF9,HLA-E,CD274,STAT3,MFN2,WAS,LILRB2,ERBB2,CD180,SLC11A1,TLR2,CCL2,ADAM9,SH3KBP1,PAG1,CLEC2D,CCL5,CLC,NOD2,CD46,CD55,CD70,VAV1,BTN3A1,MR1,SEMA4D,IL15,STXBP2,UFL1,CAMP,IL27,TP53,LY96,GRB2,TREML2,HDAC4,HDAC9,HFE,ICOSLG,CD58,FBXO38,CD44,PTPRJ,CEACAM1,LAT2,TCL1A,CEACAM6,CD2,IL12RB1	56	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell movement	Cell movement of peripheral blood lymphocytes	2.28E-03	 	0.208	 	-0.204	FLOT1,LCP2,IL15,CCL5,RIPOR2,PTK2B,FYB1,CCR5,ICAM1,LCP1	10	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking	adhesion	Adhesion of peripheral blood lymphocytes	2.45E-03	 	0.801	 	0.115	FLOT1,LCP2,RIPOR2,PTK2B,SELL,FYB1,RAC1,CCL2	8	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of lymphocytes	2.47E-03	 	-0.179	 	-0.941	AGER,DUSP3,CD200,TLR1,KLHL22,CD48,FCER1G,TNFRSF9,HLA-E,CD274,STAT3,MFN2,WAS,LILRB2,ERBB2,CD180,SLC11A1,TLR2,SH3KBP1,PAG1,CLEC2D,CCL5,CLC,NOD2,CD46,CD55,CD70,VAV1,BTN3A1,MR1,SEMA4D,IL15,STXBP2,UFL1,IL27,TP53,GRB2,TREML2,HDAC4,HDAC9,HFE,ICOSLG,CD58,FBXO38,CD44,PTPRJ,CEACAM1,LAT2,TCL1A,CEACAM6,CD2,IL12RB1	52	
Cellular Development, Connective Tissue Development and Function, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Development	maturation	Maturation of peripheral dendritic cells	2.66E-03	 	 	 	 	TLR4,TNFRSF1A,TLR2	3	
Free Radical Scavenging, Small Molecule Biochemistry	production	Production of hydrogen peroxide	2.66E-03	 	 	 	 	SFTPD,C5,APP	3	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of T lymphocytes	2.72E-03	 	-1.201	 	-1.794	AGER,IL15,STXBP2,DUSP3,KLHL22,UFL1,FCER1G,TNFRSF9,HLA-E,IL27,CD274,TP53,STAT3,MFN2,LILRB2,ERBB2,GRB2,TREML2,SLC11A1,TLR2,HFE,PAG1,CCL5,ICOSLG,CLC,CD58,CD46,CD55,FBXO38,CD44,CD70,PTPRJ,CEACAM1,TCL1A,BTN3A1,CEACAM6,MR1,CD2,IL12RB1	39	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of phagocytes	2.75E-03	 	1.155	 	0.151	SEMA4D,ITGAM,AGER,MAPK14,MMP9,SOCS3,ITGB2,CAMP,FPR1,SEMA4A,ADAM17,WAS,SCN9A,CD300A,ITGB3,FES,MAOA,CD177,CCL2,CCL5,C5,ITGAX,APP,PPBP,CD44,RTN4,TIMP2,PTK2B,ITGA4,JAM3,FAS,HGF,LYN	33	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	cell-cell contact	Cell-cell contact	2.89E-03	 	1.949	bias	1.378	ADAM9,ENTPD1,CCL5,SELL,C5,ITGB2,SELP,ADGRE5,ITGA4,ROCK1,TNIP1,FERMT3,ICAM1,CD177	14	
Cell-To-Cell Signaling and Interaction, Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	adhesion	Adhesion of peripheral T lymphocyte	3.08E-03	 	0.728	 	0.289	FLOT1,LCP2,RIPOR2,PTK2B,FYB1,RAC1	6	
Cellular Movement	cell movement	Cell movement of myeloid cells	3.19E-03	Increased	2.309	 	0.735	S100A9,AGER,SFTPD,TNFRSF1A,SELL,PPARA,ITGB2,SEMA4A,TLR4,WAS,CD300A,FES,CCL2,IL32,CCL5,FPR2,C5,SIRPA,APP,PPBP,RTN4,TIMP2,MCU,SELP,PTK2B,TNFAIP6,SELPLG,ITGA4,JAM3,FAS,HGF,CCR6,LYN,SEMA4D,GSK3B,ITGAM,MAPK14,IL15,MMP9,SOCS3,CAMP,FPR1,RAC2,ADAM17,ITGB3,MAOA,CD177,S100A8,PTGDR2,S100A12,PLAUR,ITGAX,PERP,SERPINA1,ICAM1,RAC1	56	
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of T lymphocytes	3.23E-03	 	0.217	 	-0.140	GSK3B,ENTPD1,IL15,CD59,IL6R,TPP2,RAC2,CD274,TP53,ETS2,XIAP,STAT5A,CTSD,CARD8,GSDMD,SIVA1,CASP10,CCL5,CLC,CCR5,NFKB2,CASP1,HLA-G,STAT5B,FAS,FTH1,RAC1	27	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of antigen presenting cells	3.40E-03	Increased	2.728	 	1.725	S100A9,AGER,TLR5,IL15,MMP9,TLR1,CAMP,SLC29A1,SPIB,TLR4,ULK1,RUNX1,TLR2,TET3,GADD45G,IFNK,ID2,LTBR,APP,LIF,SPI1,C1QC,LTF,GNLY,TET2,SOCS1,HLA-B,HGF,FTH1,ETV6	30	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Inflammatory Response	binding	Binding of monocytes	3.42E-03	 	1.939	 	1.251	ITGAM,IL15,BPI,CCL5,ICOSLG,ITGAX,ITGB2,VAV1,SELP,ITGB3,ICAM1,RAC1,CCL2	13	
Free Radical Scavenging	generation	Generation of reactive oxygen species	3.54E-03	Increased	2.599	 	2.246	FCGR2A,FPR2,NAMPT,C5,APP,CAMP,TP53	7	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	aggregation	Aggregation of phagocytes	3.59E-03	 	1.982	bias	1.265	S100A9,S100A8,SELPLG,SELL,ITGB2,ICAM1,TLR2,CD44	8	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking	binding	Binding of antigen presenting cells	3.65E-03	 	-0.610	 	-1.065	ITGAM,FCGR1A,ORM1,CD58,MAEA,CD48,ITGA4,CAMP,ICAM1,CD2,CD44	11	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of phagocytes	3.72E-03	Increased	2.558	bias	0.921	S100A9,AGER,SFTPD,TNFRSF1A,SELL,ITGB2,SEMA4A,TLR4,WAS,SCN9A,CD300A,FES,CCL2,IL32,CCL5,FPR2,C5,APP,PPBP,RTN4,TIMP2,MCU,SELP,PTK2B,TNFAIP6,SELPLG,ITGA4,JAM3,FAS,HGF,CCR6,LYN,SEMA4D,GSK3B,ITGAM,MAPK14,MMP9,SOCS3,CAMP,FPR1,RAC2,ADAM17,ITGB3,MAOA,CD177,S100A8,PTGDR2,S100A12,PLAUR,ITGAX,CCR5,CD44,PERP,SERPINA1,ICAM1,AXL,RAC1	57	
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	systemic juvenile idiopathic arthritis	Systemic juvenile idiopathic arthritis	4.21E-03	 	 	 	 	ASAP1,CLIC2,MCTP2,WNK1,SEC62,ATP2B1,AK2,CA2,SWT1,GID4,GRAMD1A,KCNH7,ZNF281,CEBPG,TRAF1,RHOBTB3,LRFN1,EHD4,JMJD1C	19	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Inflammatory Response	binding	Binding of blood platelets	4.38E-03	 	 	 	 	SELP,SELPLG,ITGB3,JAM3	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of eosinophils	4.38E-03	 	 	 	 	IL5RA,STAT5A,CSF2RB,LYN	4	
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation of the large intestine	Inflammation of the large intestine	4.38E-03	 	 	 	 	TLR4,ITGB3,TLR2,LCN2	4	
Gastrointestinal Disease, Inflammatory Disease, Organismal Injury and Abnormalities	inflammatory bowel disease	Inflammatory bowel disease	4.38E-03	 	 	 	 	TLR4,ITGB3,TLR2,CD274	4	
Connective Tissue Development and Function, Tissue Development	maturation	Maturation of connective tissue	4.38E-03	 	0.655	bias	-0.056	TLR4,TNFRSF1A,TOX2,TLR2	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	monocytopoiesis	Monocytopoiesis	4.97E-03	Increased	2.074	 	1.402	AGER,TLR5,IL15,IFNK,JAG1,TLR1,APP,CAMP,TLR4,ULK1,LTF,ADAM17,ZFP36L1,GNLY,ITGB3,FES,THOC5,HGF,ETV6,TLR2,CSF2RB,CCL2	22	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of plasma cells	5.10E-03	 	0.472	 	0.073	BCL6,STAT3,IL15,IL24,CR1,CD70,IL27,SPIB	8	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of peripheral blood monocytes	5.31E-03	 	-0.570	 	-1.184	ITGAM,ADAM17,CCL5,CD300A,APP,FES,CCL2	7	
Cancer, Organismal Injury and Abnormalities	cancer	Cancer	5.40E-03	Increased	2.000	 	1.978	GSK3B,CELSR1,MMP9,TNFSF8,TNFRSF9,CD274,KCNH2,LCP1,STAT3,IL1RAP,XIAP,ARG1,PSEN1,PAG1,MPL,JAK2,MNT,CD79B,SPI1,CCR5,LCN2,CASP1,MXI1,BCL6,LTF,CALCOCO2,PLIN3,FCMR,FAS,CD53	30	
Cell Signaling, Molecular Transport, Vitamin and Mineral Metabolism	quantity	Quantity of Ca2+	5.44E-03	 	1.069	bias	0.131	S100A9,ITGAM,S100A8,CCL5,CD59,FCGR2A,PLAUR,SELL,C5,FPR1,FFAR2,ORM1,CD2,CCL2	14	
Inflammatory Response	inflammatory response	Inflammatory response	5.59E-03	 	1.750	 	0.188	S100A9,AGER,SFTPD,TNFRSF1A,CD200,PPARA,ITGB2,TLR4,GRN,WAS,CD300A,TLR2,CCL2,S1PR1,CCL5,FPR2,C5,APP,SBNO2,PPBP,PRKCD,MCU,PTK2B,CLU,TNFAIP6,HLA-G,JAM3,CCR6,SEMA4D,GSK3B,IL15,F2RL1,MMP9,SOCS3,GNA12,IL6R,SIGLEC9,CAMP,FPR1,RAC2,LCP1,PROS1,ADAM17,ROCK1,MAPT,S100A8,PTGDR2,S100A12,BPI,PREX1,PLAUR,CCR5,GPR183,DYSF,FCAR,PERP,LTB4R,SERPINA1,AXL,SERPING1,RAC1	61	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of granulocytes	6.01E-03	Increased	2.137	 	0.982	S100A9,AGER,IL15,TNFRSF1A,PPARA,ITGB2,CAMP,FPR1,RAC2,TLR4,CCL2,S100A8,PTGDR2,S100A12,CCL5,FPR2,PLAUR,C5,APP,PPBP,PERP,MCU,TNFAIP6,SERPINA1,JAM3,CCR6,RAC1	27	
Cancer, Immunological Disease, Organismal Injury and Abnormalities	lymphoreticular neoplasm	Lymphoreticular neoplasm	6.29E-03	 	 	 	 	MXI1,STAT3,PAG1,MPL,JAK2,MNT,IL1RAP,TNFSF8,TNFRSF9	9	
Cellular Function and Maintenance	homeostasis	Cellular homeostasis	6.55E-03	Increased	2.380	 	1.327	MAPK14,IL15,JAK3,USP44,CHD7,ITGB2,CAMP,FPR1,NFKBIA,IL27,OSCAR,ETS2,CFLAR,STAT3,ADAM17,LILRB2,CD300A,RUNX1,CCL2,ADAM9,JAK2,CCL5,ICOSLG,JAG1,NOD2,CD46,C5,LIF,VAV1,VNN1,BCL6,HLA-G,SERPINA1,SOCS1,FAS,AXL,FOXO3,CD2,RAC1,IL12RB1	40	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of macrophages	6.56E-03	 	1.537	 	1.010	AGER,TLR5,IL15,MMP9,TLR1,APP,LIF,CAMP,TLR4,ULK1,C1QC,LTF,RUNX1,SOCS1,TLR2	15	
Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of body cavity	6.57E-03	 	 	 	 	ITGAM,ITGAX,SBNO2,RABGAP1L,LCN2,CD274,ALOX5,TLR4,ITGB3,ECHDC3,HDAC4,TLR2,LTBP1	13	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	transmigration	Transmigration of granulocytes	7.12E-03	 	0.263	 	0.076	ITGAM,SOCS3,C5,SIRPA,ITGB3,JAM3,FPR1,PPBP,RTN4,CD177	10	
Cell Death and Survival	cytolysis	Cytolysis	7.66E-03	 	-0.218	bias	-0.811	FCAR,GNLY,TNFSF8,ITGB2,CD274,MSH2,CD177	7	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	response	Response of PBMCs	7.81E-03	 	1.268	 	1.031	TLR4,WAS,IL1RAP,TLR2,IL10RA,IRAK4	6	
Cell Death and Survival, Organismal Injury and Abnormalities	apoptosis	Apoptosis of lymphocytes	8.09E-03	 	-0.067	 	-0.114	GSK3B,ITPR2,IL15,CD59,IL6R,TPP2,RAC2,CD274,TP53,DDX3X,ETS2,CFLAR,STAT3,CASP4,XIAP,ITPR1,STAT5A,SIVA1,CASP10,CCL5,CLC,SMPD1,CCR5,CD70,NFKB2,HLA-G,STAT5B,FAS,RAC1	29	
Immunological Disease, Organismal Injury and Abnormalities	allergy	Allergy	8.97E-03	 	 	 	 	PTGDR2,RRN3,IFI30,MNT,SPI1,FCER1G,ENTPD4,HLA-E,FUT7,PDE4B,MXI1,DUSP1,TNFAIP3,GADD45A,AHNAK,JUNB	16	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Inflammatory Response	immune response	Immune response of neutrophils	9.09E-03	 	1.706	bias	0.973	FCAR,ITGAM,PROS1,JAK2,FCGR2A,C5,ANPEP,ITGB2,FPR1,HGF	10	
Cell Death and Survival, Organismal Injury and Abnormalities	necroptosis	Necroptosis of neutrophils	9.09E-03	 	2.000	bias	1.276	ITGAM,MLKL,ITGB2,CD44	4	
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of macrophages	9.09E-03	 	 	 	 	STAT3,ADM2,GHRL,CCL2	4	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking	binding	Binding of eosinophils	9.53E-03	 	1.109	bias	0.407	ITGAD,CCL5,SELP,SELPLG,C5,ITGA4,ITGB2,ICAM1	8	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell rolling	Cell rolling of T lymphocytes	9.54E-03	 	 	 	 	SELP,SELPLG,ITGB2	3	
Cell Morphology, Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell spreading	Cell spreading of peripheral T lymphocyte	9.54E-03	 	 	 	 	LCP2,PTK2B,FYB1	3	
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking, Inflammatory Response	chemoattraction	Chemoattraction of eosinophils	9.54E-03	 	 	 	 	CCL5,CAMP,CCL2	3	
Cellular Growth and Proliferation, Hematological System Development and Function	inhibition	Inhibition of natural killer cells	9.54E-03	 	 	 	 	HLA-G,HLA-E,CD274	3	
Infectious Diseases, Organismal Injury and Abnormalities	melioidosis	Melioidosis	9.54E-03	 	 	 	 	TLR4,TLR1,TLR2	3	
Cell Morphology, Cellular Compromise	shrinkage	Shrinkage of T lymphocytes	9.54E-03	 	 	 	 	FAS,CTSD,CD2	3	
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	ulcerative colitis	Ulcerative colitis	9.54E-03	 	 	 	 	TLR4,ITGB3,TLR2	3	
Cardiovascular System Development and Function, Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of vascular endothelial cells	9.55E-03	Increased	2.024	bias	1.067	ITGAM,PLAUR,C5,ITGB2,PPBP,CD44,PROC,SELP,STAT1,ADGRE5,SELPLG,ICAM1,STX4,CCL2	14	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	development	Development of antigen presenting cells	9.68E-03	Increased	3.149	 	2.202	S100A9,AGER,TLR5,IL15,IFNK,TLR1,ID2,LTBR,APP,SPI1,SLC29A1,SPIB,TLR4,RUNX1,GNLY,TET2,HLA-B,FTH1,ETV6,TLR2,TET3,GADD45G	22	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of T lymphocytes	9.72E-03	 	0.896	 	0.300	IL15,ICOSLG,NOD2,IL6R,JAK3,CHD7,NFKBIA,STAT3,ERBB2,XIAP,STAT5B,FAS	12	
Infectious Diseases, Organismal Injury and Abnormalities	replication	Replication of HIV-1	9.72E-03	 	0.548	 	0.429	TLR5,AGFG1,ITGB5,CCL5,NOD2,PACSIN2,COMMD1,ATG7,DYRK1A,TLR4,TLR8,TLR2	12	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	adhesion	Adhesion of monocytes	1.08E-02	Increased	2.619	 	1.974	ITGAM,IL15,ICOSLG,SELP,ITGAX,ITGB2,ICAM1,RAC1,VAV1	9	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	transmigration	Transmigration of monocytes	1.08E-02	 	0.059	 	-0.232	ADAM17,MMP9,CD300A,C5,ITGAX,ITGA4,ITGB2,TIMP2,CCL2	9	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	transmigration	Transmigration of neutrophils	1.08E-02	 	-0.055	 	-0.291	ITGAM,SOCS3,C5,ITGB3,JAM3,FPR1,PPBP,RTN4,CD177	9	
Dermatological Diseases and Conditions, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	atopic dermatitis	Atopic dermatitis	1.10E-02	 	 	 	 	PTGDR2,RRN3,IFI30,MNT,SPI1,FCER1G,ENTPD4,FUT7,PDE4B,MXI1,DUSP1,TNFAIP3,GADD45A,AHNAK,JUNB	15	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Migration of granulocytes	1.10E-02	 	0.336	 	-0.337	ITGAM,AGER,PTGDR2,CCL5,SOCS3,PLAUR,C5,SIRPA,ITGB2,CAMP,FPR1,PPBP,RTN4,ITGB3,JAM3,FAS,CD177,CCL2	18	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of epithelial cells	1.14E-02	 	 	 	 	C5,ITGA4,ITGB2,ICAM1,CD44	5	
Cellular Movement, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking	cell movement	Cell movement of basophils	1.14E-02	 	-0.200	bias	-0.996	PTGDR2,CCL5,PLAUR,FPR1,CCL2	5	
Cell Death and Survival, Hematological System Development and Function, Organismal Injury and Abnormalities	cell viability	Cell viability of neutrophils	1.14E-02	Increased	2.000	bias	1.421	TLR4,STAT3,C5,FAS,LYN	5	
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of CD4+ T-lymphocytes	1.15E-02	 	0.963	bias	0.234	GSDMD,CASP1,ENTPD1,FAS,TP53,CARD8	6	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of neutrophils	1.18E-02	 	1.765	 	0.760	S100A9,S100A8,S100A12,CCL5,TNFRSF1A,C5,APP,ITGB2,CAMP,FPR1,RAC2,PPBP,TLR4,PERP,MCU,TNFAIP6,SERPINA1,JAM3,CCR6,RAC1,CCL2	21	
Cell-To-Cell Signaling and Interaction	response	Response of myeloid leukocytes	1.18E-02	Increased	2.178	bias	1.300	FCAR,ITGAM,PROS1,JAK2,FCGR2A,C5,ANPEP,ITGB2,FPR1,HGF,IRAK4	11	
