© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	nasal_5k_ipa - 2025-12-01 12:15 PM
Date	Mon Dec 01 09:15:07 PST 2025
Analysis ID	43063910

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed)

Canonical Pathways for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Organismal Injury and Abnormalities, Respiratory Disease	chronic respiratory disorder	Chronic respiratory disorder	1.02E-03	 	 	 	 	PDCD1LG2,DENND2D,ITIH5,MMP12,ADAM19,CNR2,CTSG,GZMB,POSTN,CD69,GGT5,ANO1,CYP51A1,RASGRP3	14	
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of immune cells	1.04E-03	 	-0.536	 	-0.379	MS4A1,CCR7,CD69,CLC,ZBTB16,IRF4,CD44,GZMB	8	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	large intestine neoplasm	Large intestine neoplasm	1.07E-03	 	 	 	 	TNNC2,CCR7,PDCD1LG2,FABP6,CLDN3,IFIT1,IL22RA2,SFRP1,CASS4,CCN2,CLCA1,OR52M1,PPP1R16B,CTSG,SYT2,SKAP2,TESPA1,SPIB,P2RY10,OTOF,CD69,SLC1A7,SIGLEC6,P2RY13,NRROS,BTNL8,LRRC61,ADAM19,SORD,TUBB4B,PIP4K2A,UBXN11,PRDX5,IL31RA,CDH26,FETUB,PCDHA12,SLC27A3,CRYBA1,CCR3,RFTN1,MCOLN2,MAPKAPK3,DENND2D,SLC26A4,WDR93,PRSS33,DOK2,MMP12,CST1,ZBTB16,LRRC32,SAMD3,BAIAP3,ANKRD55,HS3ST3A1,VSTM1,GZMB,SHISA2,SQLE,ANO1,COL28A1,PER1,ISG15,SLC9B2,IRF4,CEBPE,CD1B,RASGRP3,HEPH,MS4A1,NAIF1,HSD11B2,PTGDR2,EMP3,ITIH5,IFT74,HOXA3,IGFLR1,FDFT1,ENTPD4,CNR2,PDK4,CAPS2,CD44,CLEC12A,POSTN,GGT5,IFIT3,CLCNKB,SLC9A3,CYP51A1,SCNN1B,ZNF366,XCR1	95	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	neoplasia	Neoplasia of leukocytes	1.09E-03	 	 	 	 	CCR7,PDCD1LG2,PHGDH,RSAD2,CCL18,MMP12,ZBTB16,IL22RA2,BAIAP3,IFIT2,CLCA1,OR52M1,CTSG,GZMB,SPIB,P2RY10,OTOF,CD69,ANO1,PER1,ISG15,HRH4,IRF4,CEBPE,FHL3,BTNL8,MS4A1,ITIH5,CLC,OASL,ADAM19,FDFT1,SORD,PDK4,CD44,TUBB4B,TRAF5,PIP4K2A,POSTN,UBXN11,IFIT3,IL31RA,PCDHA12,CYP51A1,CCR3,RFTN1	46	
Molecular Transport	transport	Transport of inorganic anion	1.09E-03	 	 	 	 	SLC26A4,CLCNKB,ANO1,CLDN3	4	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	liver carcinoma	Liver carcinoma	1.11E-03	 	 	 	 	FABP6,NMNAT2,IFIT1,SFRP1,CLCA1,PPP1R16B,TESPA1,OTOF,CD69,SLC1A7,SIGLEC6,BTNL8,OASL,ADAM19,SORD,TUBB4B,PIP4K2A,IL31RA,RRAGB,CDH26,FETUB,PCDHA12,CCR3,MCOLN2,PHGDH,DENND2D,SLC26A4,ZBTB16,ITLN1,LRRC32,IFIT2,SQLE,ANO1,COL28A1,CLEC12B,TPSAB1,PER1,SLC9B2,CEBPE,HEPH,HSD11B2,PTGDR2,RGS18,ITIH5,IFT74,HOXA3,CISH,IGFLR1,FDFT1,PDK4,WEE1,CD44,POSTN,GGT5,IFIT3,SLC9A3,CYP51A1,ZNF366,XCR1	59	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	germinal center B-cell-like diffuse large B-cell lymphoma	Germinal center B-cell-like diffuse large B-cell lymphoma	1.12E-03	 	 	 	 	MS4A1,IRF4,TUBB4B	3	
Cancer, Organismal Injury and Abnormalities	development	Development of head and neck tumor	1.15E-03	 	 	 	 	POSTN,ANO1,FETUB,CYP51A1,SCNN1B,CCN2,HS3ST3A1,TUBB4B	8	
Organismal Injury and Abnormalities	calcinosis	Calcinosis	1.16E-03	 	 	 	 	CCR7,MMP12,ISG15,ITLN1,FETUB,CYP51A1,PDK4,WEE1,NRROS	9	
Organismal Injury and Abnormalities	medical complication	Medical complication	1.17E-03	 	 	 	 	MS4A1,PER1,CDH26,CYP51A1,IRF4,CNR2,TUBB4B	7	
Cancer, Organismal Injury and Abnormalities	adenocarcinoma	Primary adenocarcinoma	1.17E-03	 	 	 	 	DOK2,CLDN3,SFRP1,CD44,TUBB4B	5	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of glioma cells	1.19E-03	 	 	 	 	ANO1,SFRP1	2	
Cell Morphology	morphology	Morphology of lymphoma cell lines	1.19E-03	 	 	 	 	ZBTB16,CEBPE	2	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	primary brain tumor	Primary brain tumor	1.19E-03	 	 	 	 	ADAM19,SAMD3	2	
Dermatological Diseases and Conditions, Infectious Diseases, Organismal Injury and Abnormalities	tinea cruris	Tinea cruris	1.19E-03	 	 	 	 	SQLE,CYP51A1	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	genital carcinoma	Genital carcinoma	1.20E-03	 	 	 	 	CCR7,FABP6,NMNAT2,CLDN3,SFRP1,CASS4,CLCA1,SYT2,SPIB,OTOF,SLC1A7,SIGLEC6,P2RY13,FHL3,NRROS,BTNL8,GAS1,ADAM19,LGALS7B,TUBB4B,TRAF5,PIP4K2A,UBXN11,PRDX5,IL31RA,RRAGB,FETUB,PCDHA12,CRYBA1,MAP2K6,CCR3,ZNF157,MCOLN2,SLC26A4,WDR93,DOK2,MMP12,ZBTB16,ITLN1,LRRC32,SAMD3,BAIAP3,ANKRD55,IFIT2,HS3ST3A1,GZMB,ARL15,SQLE,ANO1,COL28A1,TPSAB1,PER1,ISG15,SLC9B2,HRH4,IRF4,CD1B,RASGRP3,HEPH,ITIH5,IFT74,HOXA3,FDFT1,CNR2,PDK4,CD44,CLEC12A,POSTN,GGT5,IFIT3,CLCNKB,GAPT,CYP51A1,ZNF366,DYDC1,XCR1	76	
Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities	demyelination	Demyelination	1.20E-03	 	 	 	 	MS4A1,PHGDH,RSAD2,IFIT1,FDFT1,ANKRD55,SORD,CD44,SKAP2,CD69,ISG15,IRF4	12	
Cancer, Gastrointestinal Disease, Hematological Disease, Hepatic System Disease, Immunological Disease, Organismal Injury and Abnormalities	hepatosplenic T-cell lymphoma	Hepatosplenic T-cell lymphoma	1.20E-03	 	 	 	 	MS4A1,GZMB,TUBB4B	3	
Infectious Diseases, Organismal Injury and Abnormalities	infection	Severe infection by virus	1.22E-03	 	-0.684	bias	0.323	CCR7,MAPKAPK3,RSAD2,IFIT1,CASS4,CCN2,LRRC32,IFIT2,CTSG,GZMB,P2RY10,ANO1,ISG15,IRF4,FHL3,LRRC61,MS4A1,PTGDR2,FDFT1,CD44,TUBB4B,GGT5,IFIT3,SLC9A3,RRAGB,CYP51A1,SLC27A3,CCR3,RFTN1,XCR1	30	
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	kidney carcinoma	Kidney carcinoma	1.23E-03	 	 	 	 	PDCD1LG2,FABP6,CCL18,SLC26A4,CST1,SFRP1,BAIAP3,CLCA1,VSTM1,PPP1R16B,COL28A1,TPSAB1,FHL3,ITIH5,IFT74,ADAM19,FDFT1,PDK4,CD44,TUBB4B,PIP4K2A,POSTN,GGT5,IFIT3,PCDHA12,LXN,MAP2K6,XCR1	28	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	hip or knee osteoarthritis	Hip or knee osteoarthritis	1.25E-03	 	 	 	 	POSTN,FDFT1,CNR2,MAP2K6,TUBB4B	5	
Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	post-transplant lymphoproliferative disorder	Post-transplant lymphoproliferative disorder	1.29E-03	 	 	 	 	MS4A1,IRF4,TUBB4B	3	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Ullrich congenital muscular dystrophy	Ullrich congenital muscular dystrophy	1.29E-03	 	 	 	 	SLC1A7,LGALS12,TPSAB1,CTSG	4	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	psoriasis	Psoriasis	1.30E-03	 	 	 	 	MAPKAPK3,DENND2D,RSAD2,OASL,MMP12,IFIT1,ZBTB16,IL22RA2,ADAM19,GZMB,POSTN,IFIT3,SQLE,ISG15,IRF4	15	
Gastrointestinal Disease, Inflammatory Disease, Organismal Injury and Abnormalities	inflammatory bowel disease	Inflammatory bowel disease	1.32E-03	 	 	 	 	PDCD1LG2,CCL18,DOK2,ZBTB16,ITLN1,CCN2,FDFT1,LRRC32,ANKRD55,CD44,SKAP2,CD69,PER1,P2RY13,CYP51A1	15	
Molecular Transport	transmembrane transport	Transmembrane transport of ion	1.35E-03	 	 	 	 	SLC26A4,ANO1,CLDN3,SLC9B2,SCNN1B,CLCA1,MCOLN2	7	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	psoriasis	Chronic psoriasis	1.36E-03	 	 	 	 	POSTN,MAPKAPK3,SQLE,MMP12,IFIT1	5	
Auditory Disease, Neurological Disease, Organismal Injury and Abnormalities	syndromic sensorineural hearing loss	Syndromic sensorineural hearing loss	1.39E-03	 	 	 	 	OTOF,SLC26A4,CLCNKB	3	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic cancer	Pancreatic cancer	1.39E-03	 	 	 	 	CCR7,MAPKAPK3,PDCD1LG2,PHGDH,CCL18,DOK2,CST1,ZBTB16,CASS4,CCN2,SAMD3,BAIAP3,HS3ST3A1,OR52M1,DMRTC2,SYT2,GZMB,TESPA1,ARL15,OTOF,SLC1A7,SQLE,ANO1,CEACAM21,RASGRP3,HEPH,ITIH5,PDK4,WEE1,CD44,TUBB4B,POSTN,CDH26,PCDHA12,CYP51A1,CRISP2,CCR3	37	
Hematological Disease, Hereditary Disorder, Infectious Diseases, Organismal Injury and Abnormalities	susceptibility to malaria	Susceptibility to malaria	1.45E-03	 	 	 	 	MAPKAPK3,CISH	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	uterine serous carcinoma	Uterine serous carcinoma	1.46E-03	 	 	 	 	HEPH,CLDN3,GAS1,ISG15,ZBTB16,SFRP1,TUBB4B	7	
Cancer, Organismal Injury and Abnormalities	pelvic adenocarcinoma	Pelvic adenocarcinoma	1.47E-03	 	 	 	 	CCR7,FABP6,NMNAT2,CLDN3,SFRP1,CASS4,SYT2,SPIB,OTOF,SLC1A7,SIGLEC6,P2RY13,FHL3,NRROS,BTNL8,GAS1,ADAM19,LGALS7B,TUBB4B,TRAF5,PIP4K2A,PRDX5,IL31RA,RRAGB,FETUB,PCDHA12,CRYBA1,MAP2K6,CCR3,ZNF157,MCOLN2,SLC26A4,WDR93,DOK2,MMP12,ZBTB16,ITLN1,LRRC32,SAMD3,BAIAP3,ANKRD55,IFIT2,HS3ST3A1,GZMB,ARL15,SQLE,ANO1,COL28A1,TPSAB1,PER1,ISG15,SLC9B2,HRH4,IRF4,CD1B,RASGRP3,HEPH,ITIH5,IFT74,HOXA3,FDFT1,PDK4,CD44,CLEC12A,POSTN,GGT5,IFIT3,CLCNKB,GAPT,CYP51A1,ZNF366,DYDC1,XCR1	73	
Auditory Disease, Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities	congenital sensorineural hearing loss	Congenital sensorineural hearing loss	1.48E-03	 	 	 	 	OTOF,SLC26A4,CLCNKB	3	
Cancer, Dermatological Diseases and Conditions, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	leg type primary cutaneous diffuse large B-cell lymphoma	Leg type primary cutaneous diffuse large B-cell lymphoma	1.48E-03	 	 	 	 	MS4A1,IRF4,TUBB4B	3	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	tumorigenesis	Tumorigenesis of reproductive tract	1.49E-03	 	 	 	 	CCR7,PDCD1LG2,FABP6,NMNAT2,CLDN3,IFIT1,SFRP1,CASS4,CCN2,CLCA1,OTOF,SLC1A7,NRROS,BTNL8,OASL,GAS1,ADAM19,TUBB4B,TRAF5,PIP4K2A,IL31RA,PCDHA12,CRYBA1,MAP2K6,CCR3,ZNF157,MCOLN2,PHGDH,WDR93,DOK2,MMP12,ZBTB16,ITLN1,SAMD3,BAIAP3,ANKRD55,HS3ST3A1,VSTM1,GZMB,ARL15,SQLE,ANO1,COL28A1,TPSAB1,ISG15,SLC9B2,HRH4,IRF4,RASGRP3,HEPH,HSD11B2,EMP3,ITIH5,IFT74,FDFT1,CNR2,PDK4,WEE1,CD44,CLEC12A,POSTN,GGT5,IFIT3,GAPT,CYP51A1,ZNF366,DYDC1,XCR1	68	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	malignant neuroendocrine neoplasm	Malignant neuroendocrine neoplasm	1.54E-03	 	 	 	 	PHGDH,RSAD2,DOK2,MMP12,ZBTB16,ITLN1,CASS4,SAMD3,CLCA1,SKAP2,P2RY10,OTOF,SLC1A7,SHISA2,SQLE,ANO1,COL28A1,IRF4,CEBPE,CD1B,LRRC61,HEPH,MS4A1,NAIF1,HSD11B2,HOXA3,ADAM19,FDFT1,PDK4,TUBB4B,POSTN,RRAGB,FETUB,PCDHA12,GAPT,CRYBA1,CRISP2,ZNF157,XCR1	39	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Lymphoid Tissue Structure and Development	chemotaxis	Chemotaxis of lymphocytes	1.58E-03	 	 	 	 	CCR7,PTGDR2,CCL18,CCR3	4	
Cancer, Organismal Injury and Abnormalities	undifferentiated sarcoma	Undifferentiated sarcoma	1.64E-03	 	 	 	 	PDK4,CD44,TUBB4B,SPIB	4	
Antimicrobial Response, Inflammatory Response	antiviral response	Antiviral response	1.65E-03	 	 	 	 	RSAD2,IFIT3,OASL,IFIT1,ISG15,IFIT2	6	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	extrapancreatic neuroendocrine tumor	Extrapancreatic neuroendocrine tumor	1.69E-03	 	 	 	 	PHGDH,DOK2,MMP12,ZBTB16,ITLN1,CASS4,SAMD3,CLCA1,SKAP2,P2RY10,OTOF,SLC1A7,SHISA2,SQLE,ANO1,COL28A1,IRF4,CEBPE,CD1B,BTNL8,LRRC61,HEPH,MS4A1,NAIF1,HSD11B2,HOXA3,ADAM19,FDFT1,PDK4,CD44,TUBB4B,POSTN,CLCNKB,RRAGB,FETUB,PCDHA12,GAPT,CRYBA1,CRISP2,ZNF157,XCR1	41	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of leukocytes	1.69E-03	 	-0.152	 	0.141	MS4A1,PTGDR2,CLC,CDH26,CD1B,CD44,CTSG,CLEC12A	8	
Cancer, Organismal Injury and Abnormalities	primary squamous cell carcinoma	Primary squamous cell carcinoma	1.69E-03	 	 	 	 	SFRP1,CD44,TUBB4B	3	
Organismal Injury and Abnormalities	postoperative complication	Postoperative complication	1.76E-03	 	 	 	 	MS4A1,CDH26,CYP51A1,IRF4,CNR2,TUBB4B	6	
Cancer, Organismal Injury and Abnormalities	blue round small cell tumor	Blue round small cell tumor	1.76E-03	 	 	 	 	PHGDH,DOK2,MMP12,ZBTB16,ITLN1,CASS4,SAMD3,CLCA1,SKAP2,P2RY10,OTOF,SLC1A7,SHISA2,SQLE,ANO1,COL28A1,SIGLEC6,IRF4,CEBPE,CD1B,LRRC61,HEPH,MS4A1,NAIF1,HSD11B2,ITIH5,HOXA3,ADAM19,FDFT1,PDK4,CD44,TUBB4B,POSTN,UBXN11,RRAGB,FETUB,PCDHA12,GAPT,CYP51A1,CRYBA1,CRISP2,ZNF157,XCR1	43	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	carcinoma	Pancreatic carcinoma	1.78E-03	 	 	 	 	CCR7,MAPKAPK3,PDCD1LG2,PHGDH,CCL18,DOK2,CST1,ZBTB16,CASS4,CCN2,SAMD3,BAIAP3,HS3ST3A1,OR52M1,DMRTC2,SYT2,GZMB,TESPA1,ARL15,OTOF,SLC1A7,CEACAM21,RASGRP3,HEPH,ITIH5,PDK4,WEE1,CD44,TUBB4B,POSTN,CDH26,PCDHA12,CYP51A1,CRISP2,CCR3	35	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastrointestinal tract cancer	Gastrointestinal tract cancer	1.79E-03	 	 	 	 	CCR7,PDCD1LG2,FABP6,RSAD2,CCL18,CLDN3,IL22RA2,SFRP1,CCN2,CLCA1,OR52M1,SYT2,TESPA1,OTOF,CD69,SLC1A7,BTNL8,LRRC61,ADAM19,CDH26,SLC27A3,CRYBA1,CCR3,MAPKAPK3,SLC26A4,WDR93,DOK2,CST1,ZBTB16,IFIT2,HS3ST3A1,SQLE,PER1,ISG15,SLC9B2,IRF4,CEBPE,CD1B,RASGRP3,MS4A1,HSD11B2,ITIH5,IFT74,CLEC12A,GGT5,IFIT3,SLC9A3,CYP51A1,SCNN1B,DYDC1,XCR1,IFIT1,CASS4,PPP1R16B,CTSG,SKAP2,P2RY10,SIGLEC6,P2RY13,FHL3,NRROS,TUBB4B,PIP4K2A,UBXN11,PRDX5,IL31RA,FETUB,PCDHA12,RFTN1,MCOLN2,PHGDH,DENND2D,PRSS33,MMP12,LRRC32,SAMD3,BAIAP3,ANKRD55,VSTM1,GZMB,SHISA2,ANO1,COL28A1,HEPH,NAIF1,PTGDR2,RGS18,EMP3,HOXA3,IGFLR1,FDFT1,ENTPD4,CNR2,PDK4,CAPS2,WEE1,CD44,POSTN,CLCNKB,ZNF366	100	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastrointestinal carcinoma	Gastrointestinal carcinoma	1.81E-03	 	 	 	 	CCR7,PDCD1LG2,FABP6,RSAD2,CCL18,IL22RA2,SFRP1,CCN2,CLCA1,OR52M1,SYT2,TESPA1,OTOF,CD69,SLC1A7,BTNL8,LRRC61,ADAM19,CDH26,SLC27A3,CRYBA1,CCR3,MAPKAPK3,SLC26A4,WDR93,DOK2,CST1,ZBTB16,HS3ST3A1,SQLE,PER1,ISG15,SLC9B2,IRF4,CEBPE,CD1B,RASGRP3,MS4A1,ITIH5,IFT74,CLEC12A,GGT5,IFIT3,SLC9A3,CYP51A1,SCNN1B,DYDC1,XCR1,IFIT1,CASS4,PPP1R16B,CTSG,SKAP2,P2RY10,SIGLEC6,P2RY13,FHL3,NRROS,TUBB4B,PIP4K2A,UBXN11,IL31RA,FETUB,PCDHA12,RFTN1,MCOLN2,PHGDH,DENND2D,PRSS33,MMP12,LRRC32,SAMD3,BAIAP3,ANKRD55,VSTM1,GZMB,SHISA2,ANO1,COL28A1,HEPH,NAIF1,PTGDR2,RGS18,EMP3,HOXA3,IGFLR1,FDFT1,ENTPD4,CNR2,PDK4,CAPS2,WEE1,CD44,POSTN,CLCNKB,ZNF366	96	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	brain tumor	Brain tumor	1.81E-03	 	 	 	 	TNNC2,PDCD1LG2,FABP6,NMNAT2,CLDN3,IFIT1,SFRP1,CASS4,CLCA1,DMRTC2,PPP1R16B,CTSG,OTOF,CD69,SLC1A7,SIGLEC6,P2RY13,FHL3,ADAM19,SORD,TUBB4B,PIP4K2A,UBXN11,PRDX5,IL31RA,FETUB,PCDHA12,SLC27A3,CRYBA1,CCR3,RFTN1,MCOLN2,MAPKAPK3,PHGDH,DENND2D,SLC26A4,DOK2,ZBTB16,LRRC32,SAMD3,BAIAP3,ANKRD55,IFIT2,HS3ST3A1,GZMB,SHISA2,SQLE,ANO1,COL28A1,TPSAB1,PER1,SLC9B2,HRH4,IRF4,CEBPE,RASGRP3,HEPH,MS4A1,NAIF1,HSD11B2,PTGDR2,EMP3,ITIH5,LGALS12,IFT74,CISH,ENTPD4,PDK4,WEE1,CD44,POSTN,IFIT3,CLCNKB,SLC9A3,CYP51A1,SCNN1B,CRISP2	77	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatobiliary adenocarcinoma	Pancreatobiliary adenocarcinoma	1.83E-03	 	 	 	 	CCR7,MAPKAPK3,PDCD1LG2,PHGDH,DENND2D,CCL18,CST1,ZBTB16,CASS4,CCN2,BAIAP3,IFIT2,HS3ST3A1,CLCA1,OR52M1,DMRTC2,SYT2,GZMB,TESPA1,ARL15,OTOF,SLC1A7,CEACAM21,RASGRP3,HEPH,ITIH5,ADAM19,PDK4,WEE1,CD44,TUBB4B,POSTN,CDH26,PCDHA12,CYP51A1,CRISP2,CCR3	37	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of mononuclear leukocytes	1.84E-03	 	-1.968	bias	-1.408	CCR7,PTGDR2,CCL18,CCR3,CTSG	5	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	ductal breast carcinoma	Invasive ductal breast carcinoma	1.87E-03	 	 	 	 	POSTN,SQLE,OASL,PDK4,CD44,TUBB4B	6	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	lymphocytic cancer	Lymphocytic cancer	1.89E-03	 	 	 	 	CCR7,PDCD1LG2,PHGDH,RSAD2,CCL18,MMP12,ZBTB16,BAIAP3,IFIT2,CLCA1,OR52M1,PPP1R16B,CTSG,GZMB,SPIB,P2RY10,OTOF,CD69,ANO1,PER1,ISG15,HRH4,IRF4,CEBPE,FHL3,BTNL8,MS4A1,ITIH5,CLC,OASL,IFT74,ADAM19,FDFT1,SORD,PDK4,CD44,TUBB4B,TRAF5,PIP4K2A,POSTN,UBXN11,IFIT3,IL31RA,PCDHA12,CYP51A1,CCR3,RFTN1	47	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	malignant lymphocytic neoplasm	Malignant lymphocytic neoplasm	1.89E-03	 	 	 	 	CCR7,PDCD1LG2,PHGDH,RSAD2,CCL18,MMP12,ZBTB16,BAIAP3,IFIT2,CLCA1,OR52M1,PPP1R16B,CTSG,GZMB,SPIB,P2RY10,OTOF,CD69,ANO1,PER1,ISG15,HRH4,IRF4,CEBPE,FHL3,BTNL8,MS4A1,ITIH5,CLC,OASL,IFT74,ADAM19,FDFT1,SORD,PDK4,CD44,TUBB4B,TRAF5,PIP4K2A,POSTN,UBXN11,IFIT3,IL31RA,PCDHA12,CYP51A1,CCR3,RFTN1	47	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	neuroendocrine tumor	Neuroendocrine tumor	1.93E-03	 	 	 	 	PHGDH,RSAD2,DOK2,MMP12,ZBTB16,ITLN1,CASS4,SAMD3,CLCA1,SKAP2,P2RY10,OTOF,SLC1A7,SHISA2,SQLE,ANO1,COL28A1,IRF4,CEBPE,CD1B,BTNL8,LRRC61,HEPH,MS4A1,NAIF1,HSD11B2,HOXA3,ADAM19,FDFT1,PDK4,CD44,TUBB4B,POSTN,CLCNKB,RRAGB,FETUB,PCDHA12,GAPT,CRYBA1,CRISP2,ZNF157,XCR1	42	
Organismal Injury and Abnormalities, Respiratory Disease	bronchopathy	Bronchopathy	1.98E-03	 	 	 	 	DENND2D,ITIH5,MMP12,ADAM19,CNR2,CD44,CTSG,GZMB,CD69,ANO1,PCDHA12,CYP51A1,SCNN1B,RASGRP3	14	
Cancer, Dermatological Diseases and Conditions, Lipid Metabolism, Metabolic Disease, Organismal Injury and Abnormalities, Small Molecule Biochemistry	malignant fibrous histiocytoma	Malignant fibrous histiocytoma	2.04E-03	 	 	 	 	PDK4,CD44,TUBB4B	3	
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	renal cell cancer	Renal cell carcinoma	2.09E-03	 	 	 	 	PDCD1LG2,FABP6,CCL18,SLC26A4,CST1,SFRP1,BAIAP3,CLCA1,VSTM1,PPP1R16B,COL28A1,TPSAB1,FHL3,ITIH5,IFT74,ADAM19,FDFT1,PDK4,CD44,PIP4K2A,POSTN,GGT5,IFIT3,PCDHA12,LXN,MAP2K6,XCR1	27	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	female genital neoplasm	Female genital neoplasm	2.10E-03	 	 	 	 	CCR7,PDCD1LG2,FABP6,NMNAT2,CLDN3,IFIT1,SFRP1,CASS4,CCN2,CLCA1,OTOF,SLC1A7,NRROS,BTNL8,OASL,GAS1,ADAM19,TUBB4B,TRAF5,PIP4K2A,IL31RA,PCDHA12,CRYBA1,MAP2K6,CCR3,ZNF157,MCOLN2,PHGDH,WDR93,DOK2,MMP12,ZBTB16,ITLN1,SAMD3,BAIAP3,ANKRD55,HS3ST3A1,VSTM1,GZMB,ARL15,SQLE,ANO1,COL28A1,TPSAB1,ISG15,SLC9B2,HRH4,IRF4,RASGRP3,HEPH,HSD11B2,EMP3,ITIH5,IFT74,FDFT1,CNR2,PDK4,WEE1,CD44,CLEC12A,POSTN,GGT5,IFIT3,GAPT,CYP51A1,ZNF366,DYDC1,XCR1	68	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	central nervous system solid tumor	Central nervous system solid tumor	2.13E-03	 	 	 	 	TNNC2,CCR7,PDCD1LG2,FABP6,NMNAT2,CLDN3,IFIT1,SFRP1,CASS4,CLCA1,DMRTC2,PPP1R16B,CTSG,SYT2,OTOF,CD69,SLC1A7,SIGLEC6,P2RY13,FHL3,ADAM19,SORD,TUBB4B,TRAF5,PIP4K2A,UBXN11,PRDX5,IL31RA,FETUB,PCDHA12,SLC27A3,CRYBA1,CCR3,RFTN1,MCOLN2,MAPKAPK3,PHGDH,DENND2D,SLC26A4,WDR93,DOK2,ZBTB16,LRRC32,SAMD3,BAIAP3,ANKRD55,IFIT2,HS3ST3A1,GZMB,SHISA2,SQLE,ANO1,COL28A1,TPSAB1,PER1,SLC9B2,HRH4,IRF4,CEBPE,RASGRP3,HEPH,MS4A1,NAIF1,HSD11B2,PTGDR2,EMP3,ITIH5,LGALS12,IFT74,CISH,ENTPD4,PDK4,WEE1,CD44,POSTN,IFIT3,CLCNKB,SLC9A3,CYP51A1,SCNN1B,CRISP2,XCR1	82	
Cancer, Organismal Injury and Abnormalities	growth	Growth of malignant tumor	2.15E-03	 	-0.946	 	-0.416	MAPKAPK3,ANO1,LGALS12,SFRP1,CD44,TESPA1	6	
